Year,Offense Division,Offense Count,State
2019,A Crimes against the person,81254,NSW
2019,B Property and deception offences,328276,NSW
2019,C Drug offences,52770,NSW
2019,D Public order and security offences,49403,NSW
2019,E Justice procedures offences,187630,NSW
2019,F Other offences,14600,NSW
2020,A Crimes against the person,79678,NSW
2020,B Property and deception offences,279386,NSW
2020,C Drug offences,52418,NSW
2020,D Public order and security offences,43377,NSW
2020,E Justice procedures offences,153464,NSW
2020,F Other offences,27436,NSW
2021,A Crimes against the person,79447,NSW
2021,B Property and deception offences,268704,NSW
2021,C Drug offences,47888,NSW
2021,D Public order and security offences,41842,NSW
2021,E Justice procedures offences,154564,NSW
2021,F Other offences,93314,NSW
2022,A Crimes against the person,85342,NSW
2022,B Property and deception offences,277186,NSW
2022,C Drug offences,44307,NSW
2022,D Public order and security offences,44007,NSW
2022,E Justice procedures offences,150808,NSW
2022,F Other offences,20738,NSW
2023,A Crimes against the person,90515,NSW
2023,B Property and deception offences,297855,NSW
2023,C Drug offences,41791,NSW
2023,D Public order and security offences,41957,NSW
2023,E Justice procedures offences,159255,NSW
2023,F Other offences,13203,NSW
2019,A Crimes against the person,79874,Victoria
2019,B Property and deception offences,287245,Victoria
2019,C Drug offences,31483,Victoria
2019,D Public order and security offences,33129,Victoria
2019,E Justice procedures offences,72797,Victoria
2019,F Other offences,1277,Victoria
2020,A Crimes against the person,80599,Victoria
2020,B Property and deception offences,271635,Victoria
2020,C Drug offences,37095,Victoria
2020,D Public order and security offences,28527,Victoria
2020,E Justice procedures offences,76145,Victoria
2020,F Other offences,32240,Victoria
2021,A Crimes against the person,81768,Victoria
2021,B Property and deception offences,242819,Victoria
2021,C Drug offences,31029,Victoria
2021,D Public order and security offences,28183,Victoria
2021,E Justice procedures offences,76580,Victoria
2021,F Other offences,13179,Victoria
2022,A Crimes against the person,80237,Victoria
2022,B Property and deception offences,235041,Victoria
2022,C Drug offences,28287,Victoria
2022,D Public order and security offences,27591,Victoria
2022,E Justice procedures offences,75565,Victoria
2022,F Other offences,3933,Victoria
2023,A Crimes against the person,81170,Victoria
2023,B Property and deception offences,267355,Victoria
2023,C Drug offences,27739,Victoria
2023,D Public order and security offences,26409,Victoria
2023,E Justice procedures offences,79423,Victoria
2023,F Other offences,1070,Victoria
