Year,Year ending,Sex,Age Group,Offence Division,Offence Subdivision,Victim Reports
2023,September,Female,<18 years,A Crimes against the person,A20 Assault and related offences,"2,809"
2023,September,Female,<18 years,A Crimes against the person,A30 Sexual offences,"2,964"
2023,September,Female,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",292
2023,September,Female,<18 years,A Crimes against the person,Other crimes against the person,364
2023,September,Female,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,108
2023,September,Female,<18 years,B Property and deception offences,B30 Burglary/Break and enter,70
2023,September,Female,<18 years,B Property and deception offences,B40 Theft,503
2023,September,Female,<18 years,B Property and deception offences,B50 Deception,53
2023,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"3,096"
2023,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,"1,451"
2023,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",687
2023,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,356
2023,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,261"
2023,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,777
2023,September,Female,18-44 years,B Property and deception offences,B40 Theft,"4,158"
2023,September,Female,18-44 years,B Property and deception offences,B50 Deception,564
2023,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"5,927"
2023,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,"1,435"
2023,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,248"
2023,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,504
2023,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,774"
2023,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"2,088"
2023,September,Female,18-44 years,B Property and deception offences,B40 Theft,"8,730"
2023,September,Female,18-44 years,B Property and deception offences,B50 Deception,984
2023,September,Female,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,761"
2023,September,Female,18-44 years,A Crimes against the person,A30 Sexual offences,872
2023,September,Female,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","1,219"
2023,September,Female,18-44 years,A Crimes against the person,Other crimes against the person,362
2023,September,Female,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,837"
2023,September,Female,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"2,072"
2023,September,Female,18-44 years,B Property and deception offences,B40 Theft,"6,919"
2023,September,Female,18-44 years,B Property and deception offences,B50 Deception,824
2023,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"3,166"
2023,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,530
2023,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",796
2023,September,Female,>45 years,A Crimes against the person,Other crimes against the person,236
2023,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,581"
2023,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,862"
2023,September,Female,>45 years,B Property and deception offences,B40 Theft,"5,609"
2023,September,Female,>45 years,B Property and deception offences,B50 Deception,672
2023,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,"1,453"
2023,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,241
2023,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",324
2023,September,Female,>45 years,A Crimes against the person,Other crimes against the person,109
2023,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,622"
2023,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"1,390"
2023,September,Female,>45 years,B Property and deception offences,B40 Theft,"3,712"
2023,September,Female,>45 years,B Property and deception offences,B50 Deception,529
2023,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,607
2023,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,78
2023,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",142
2023,September,Female,>45 years,A Crimes against the person,Other crimes against the person,56
2023,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,824
2023,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,902
2023,September,Female,>45 years,B Property and deception offences,B40 Theft,"2,093"
2023,September,Female,>45 years,B Property and deception offences,B50 Deception,435
2023,September,Female,>45 years,A Crimes against the person,A20 Assault and related offences,322
2023,September,Female,>45 years,A Crimes against the person,A30 Sexual offences,75
2023,September,Female,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",62
2023,September,Female,>45 years,A Crimes against the person,Other crimes against the person,35
2023,September,Female,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,445
2023,September,Female,>45 years,B Property and deception offences,B30 Burglary/Break and enter,709
2023,September,Female,>45 years,B Property and deception offences,B40 Theft,"1,229"
2023,September,Female,>45 years,B Property and deception offences,B50 Deception,295
2023,September,Male,<18 years,A Crimes against the person,A20 Assault and related offences,"3,312"
2023,September,Male,<18 years,A Crimes against the person,A30 Sexual offences,615
2023,September,Male,<18 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",169
2023,September,Male,<18 years,A Crimes against the person,Other crimes against the person,"1,362"
2023,September,Male,<18 years,B Property and deception offences,B10 Arson & B20 Property damage,89
2023,September,Male,<18 years,B Property and deception offences,B30 Burglary/Break and enter,82
2023,September,Male,<18 years,B Property and deception offences,B40 Theft,"1,400"
2023,September,Male,<18 years,B Property and deception offences,B50 Deception,95
2023,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"2,938"
2023,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,246
2023,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",233
2023,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,887
2023,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"1,014"
2023,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,768
2023,September,Male,18-44 years,B Property and deception offences,B40 Theft,"7,039"
2023,September,Male,18-44 years,B Property and deception offences,B50 Deception,722
2023,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"5,205"
2023,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,197
2023,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",478
2023,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,808
2023,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,286"
2023,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"2,659"
2023,September,Male,18-44 years,B Property and deception offences,B40 Theft,"14,397"
2023,September,Male,18-44 years,B Property and deception offences,B50 Deception,"1,445"
2023,September,Male,18-44 years,A Crimes against the person,A20 Assault and related offences,"4,299"
2023,September,Male,18-44 years,A Crimes against the person,A30 Sexual offences,163
2023,September,Male,18-44 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",553
2023,September,Male,18-44 years,A Crimes against the person,Other crimes against the person,519
2023,September,Male,18-44 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,610"
2023,September,Male,18-44 years,B Property and deception offences,B30 Burglary/Break and enter,"3,133"
2023,September,Male,18-44 years,B Property and deception offences,B40 Theft,"11,832"
2023,September,Male,18-44 years,B Property and deception offences,B50 Deception,"1,230"
2023,September,Male,>45 years,A Crimes against the person,A20 Assault and related offences,"3,240"
2023,September,Male,>45 years,A Crimes against the person,A30 Sexual offences,124
2023,September,Male,>45 years,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",454
2023,September,Male,>45 years,A Crimes against the person,Other crimes against the person,387
2023,September,Male,>45 years,B Property and deception offences,B10 Arson & B20 Property damage,"2,325"
2023,September,Male,>45 years,B Property and deception offences,B30 Burglary/Break and enter,"2,598"
2023,September,Male,>45 years,B Property and deception offences,B40 Theft,"8,676"
