Year,Year ending,Offence Division,Offence Subdivision,Relationship of Victim to Offender,Victim Reports
2023,September,A Crimes against the person,A10 Homicide and related offences,Current partner,18
2023,September,A Crimes against the person,A10 Homicide and related offences,Family,22
2023,September,A Crimes against the person,A10 Homicide and related offences,Former partner,5
2023,September,A Crimes against the person,A10 Homicide and related offences,Non family member,37
2023,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,71
2023,September,A Crimes against the person,A20 Assault and related offences,Current partner,"7,260"
2023,September,A Crimes against the person,A20 Assault and related offences,Family,"8,939"
2023,September,A Crimes against the person,A20 Assault and related offences,Former partner,"4,791"
2023,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,177"
2023,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"11,636"
2023,September,A Crimes against the person,A30 Sexual offences,Current partner,774
2023,September,A Crimes against the person,A30 Sexual offences,Family,"1,498"
2023,September,A Crimes against the person,A30 Sexual offences,Former partner,"1,178"
2023,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,623"
2023,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"2,039"
2023,September,A Crimes against the person,A40 Abduction and related offences,Current partner,86
2023,September,A Crimes against the person,A40 Abduction and related offences,Family,18
2023,September,A Crimes against the person,A40 Abduction and related offences,Former partner,79
2023,September,A Crimes against the person,A40 Abduction and related offences,Non family member,74
2023,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,74
2023,September,A Crimes against the person,A50 Robbery,Current partner,8
2023,September,A Crimes against the person,A50 Robbery,Family,13
2023,September,A Crimes against the person,A50 Robbery,Former partner,19
2023,September,A Crimes against the person,A50 Robbery,Non family member,291
2023,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,294"
2023,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2023,September,A Crimes against the person,A60 Blackmail and extortion,Family,8
2023,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,16
2023,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,53
2023,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,219
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,781
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,388"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,781"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,404"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,"1,004"
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,267
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,215
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,226
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,261
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,087"
2023,September,B Property and deception offences,B10 Arson,Current partner,7
2023,September,B Property and deception offences,B10 Arson,Family,4
2023,September,B Property and deception offences,B10 Arson,Former partner,2
2023,September,B Property and deception offences,B10 Arson,Non family member,5
2023,September,B Property and deception offences,B10 Arson,Not related/ associated,6
2023,September,B Property and deception offences,B20 Property damage,Current partner,"1,144"
2023,September,B Property and deception offences,B20 Property damage,Family,"2,425"
2023,September,B Property and deception offences,B20 Property damage,Former partner,"1,421"
2023,September,B Property and deception offences,B20 Property damage,Non family member,"2,017"
2023,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,514"
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,32
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Family,193
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,256
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,615
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"3,674"
2023,September,B Property and deception offences,B40 Theft,Current partner,82
